Town,Latitude,Longitude
Cavalry Ground,31.501978,74.36215832548208
DHA or Mall Road,,
DHA,31.47465825,74.40278691708787
Gulberg,31.5067804,74.3568263
Gulberg or DHA,,
DHA Phase 5,31.4623197,74.4134878
DHA Phase 3,31.4727322,74.3750938
Cantt,31.484175049999997,74.41643165853968
DHA Phase 4,31.4688049,74.3893372
DHA Phase 6,31.4716319,74.451084
Gulberg or Cantt,,
Artisans Of Burger,,
Model Town,31.48210195,74.3227941518167
Walled City,31.56479435,74.31267334015028
Multiple Locations,,
Allama Iqbal Town,31.5021726,74.2743131
Walton Road,31.47980715,74.36070977069545
Johar Town,31.470655787414916,74.2499990203714
MM Alam Road,31.5104754,74.35213
MM Alam,31.51972375717398,74.35168400642473
Fortress Stadium,31.5317842,74.3660636
Liberty,31.51328625,74.34479805000001
Mall Road,31.55553641818222,74.33219377381138
Main Market,31.52420645,74.34609053666378
G Block DHA,31.4842207,74.3942121
H Block DHA,31.4822537,74.3955963
DHA Phase 1,31.4823643,74.39417653177321
Z Block DHA,31.4767073,74.3817557
Qaddafi Stadium,31.5140977,74.3307304306276
Y Block DHA,31.4580997,74.4847673
Bhatta Chowk,31.487521,74.412082
Sadar Cantt,,
Q Block DHA,31.458068658489122,74.41353049942852
Avenue Mall,31.4853248,74.40854311334373
Gaddafi Stadium,31.513361500000002,74.33346440822773
Dharampura,31.5525905,74.3652268
Ghazi Road,31.56243823626349,74.29858067353987
Packages Mall,31.4711049,74.3556681
DHA Phase 2,31.4688049,74.3893372
T Block DHA,31.458068658489122,74.41353049942852
Jory Pull,,
Gold Crest Mall,31.46654025,74.38194694179683
Barkat Market,31.4999719,74.3210894
Joray Pull,,
Ferozepur Road,31.542334098654763,74.31613169808546
Thai & Chinese - Gulberg,31.5214523,74.3487182
FF Block (Mazang Walay),,
Garden Town,31.50215855,74.3263499646547
Shadman,31.543656258930177,74.32933040015011
DD Block DHA,31.458068658489122,74.41353049942852
Shahdara,31.6410024,74.28551295
Wahdat Road,31.49672397298829,74.26708229169714
Shalimar,31.543471915861115,74.27930896238162
Samanabad,31.540320299999998,74.3022961015393
Ichra,31.53295914548826,74.31839688263128
Mozang,31.5488201,74.3149705
Ichhra,31.5297476,74.31322864360456
Lahore,31.5656822,74.3141829
Gari Shahu,,
Sultan Pura,31.581608606434422,74.34119034261134
Homechef,,
Lal Pull,,
Allama Iqbal,31.58789145,74.3113345
Allama Iqbal Road,31.577914615098578,74.33419340005584
DHA Phase 8,31.493559599999998,74.42873652215619
Faisal Town,31.4587692,74.3304074
Liberty Market,31.5112797,74.3450076
Mazang,31.5488266,74.3150147
Shimla Pahari,31.5621217,74.3365138
Lakshmi Chowk,31.56742435,74.32457074521221
Fatehgarh,31.5724255,74.4059751
Paragon City,31.52485475,74.44852835229509
Barki Road,31.52485475,74.44852835229509
"Link Road, Model Town",31.466112,74.3161529
Qila Gujjar Singh,31.56907865,74.32954508768782
UET Lahore,31.40673645,74.27006822471999
"Amanah Mall, Model Town",31.4670034,74.31578459496887
Askari 11,31.4535531,74.43638690776731
Baghbanpura,31.5845029,74.3766651
Shalimar Link Road,31.575225498330873,74.38106245704219
Askari XI,31.4411612,74.4306349
Iqbal Town,31.523630413651844,74.2889379979969
GT Road,31.6088041,74.3031637
Hall Road,31.567621557111927,74.318614703264
Taj Bagh,31.564314099999997,74.41853090427581
Peco Road,31.59227272629469,74.32436438560977
Singpura,,
Fateh Garh,31.582103750182437,74.40672175252466
Moon Market,31.4751322,74.3061324
Millat Chowk,,
Chuburgi,,
Chauburji,31.5539332,74.3045935
Choburji,,
"Bismillah Chowk, Iqbal Town",,
Gulshan Ravi,31.551744044945206,74.28304010513438
Karim Market,31.503848085228018,74.28077417500246
Township,31.4565063,74.3200799
Ghoray Shah,31.5830396,74.34986293211179
Home-based,,
Shah Alam Market,31.5778376,74.3178981
Anarkali,31.5681666,74.3103453
Wapda Town,31.431624749999997,74.2634999475938
Karim Block,,
Rustam Park,31.543995000000002,74.29276039869353
Gawalmandi,31.5723725,74.31803
Shadbagh,,
Neelam Cinema Area,,
Kareem Block,,
Sabzazar,31.5217929,74.2701264
New Anarkali,31.56621655,74.31222519423922
Gulshan-E-Ravi,31.548953,74.2730641
Defence Raya,31.46893945,74.47155126114043
"DHA Phase 6, Raya",,
"Main Market, Gulberg",,
"DHA Phase 5, Raya",,
Gulshan-e-Ravi,31.548953,74.2730641
"Wassan Pura, Ravi Road",,
Johar Town Phase 2,31.474236,74.2712004
"Mustafa Town, Wahdat Road",,
Township Market,,
Johar Town Main Boulevard,31.46553989012539,74.27403181287598
"Liberty Market, Gulberg",31.5112797,74.3450076
Islampura Chowk,,
Gulshan-e-Iqbal,31.51504621388892,74.29431446586038
Bahria Town,31.376028667851497,74.16531777551562
Gulberg III,31.515866850000002,74.3410061113425
Islampura Market,,
Johar Town Main Market,,
Saddar Cantt,,
Anarkali Food Street,31.56668426127328,74.30941880345299
Gulberg Galleria,,
Shadbagh Main Road,,
"MM Alam Road, Gulberg",31.5104754,74.35213
Johar Town Phase 1,31.470655787414916,74.2499990203714
Samanabad Market,,
PIA Road,31.56015905,74.32699816832599
Islampura,31.56542035,74.29519471949888
NFC Society,31.41224764691066,74.26467753241931
Niazi Adda,,
G1 Market,31.475774,74.2802229
PIA Society,31.446112,74.2766774
Awan Town,31.5042343,74.2631971
Multan Road,31.53574266898634,74.2901637109065
Outfall Road,31.568444938673764,74.28469118573193
Shad Bagh,31.5981297,74.3341065
Khokhar Chowk,31.4697282,74.2729324
Taxali,31.5859679,74.3063116
Karim Park,31.5909699,74.2988606
Ayub Chowk,,
Canal View,31.4806954,74.249204
Manawan,31.59156385,74.45888459059825
Thokar Niaz Baig,31.48101686429939,74.23823811292164
Badami Bagh,31.5904982,74.32017397712355
Rehmat Chowk,31.49068605,74.41436430793028
Valencia Town,31.4083104,74.261212
Valencia,31.4066733,74.2582688
Pine Avenue,,
Shershah Colony,31.53747235,74.32279240318955
Raiwind Road,31.43925533394436,74.23193374680748
Izmir Town,31.422568729750697,74.1880704481746
Lake City,31.3625933,74.2337709
Jubilee Town,31.5518416,74.3241206
Chung,31.4325834,74.1743479
